,OPEN,HIGH,LOW,CLOSE,symbol
2022/3/15,1621.2726,1636.1642,1558.26,1558.3329,CI005805.WI
2022/3/15,1781.2345,1804.3156,1708.2427,1708.8179,CI005808.WI
2022/3/15,2624.4968,2711.25,2596.3904,2596.3904,CI005188.WI
2022/3/15,4099.3589,4148.2676,3943.6113,3943.6113,CI005181.WI
2022/3/15,1133.6027,1133.6627,1067.3624,1067.3624,CI005198.WI
2022/3/15,1632.0692,1632.703,1551.0986,1551.2349,CI005191.WI
2022/3/15,2498.832,2498.832,2346.1702,2347.2383,CI005105.WI
2022/3/15,956.6434,976.7844,934.8383,936.0424,CI005841.WI
2022/3/15,1113.6746,1113.9962,1065.2017,1065.2017,CI005801.WI
2022/3/15,1582.139,1606.4784,1527.1245,1527.1245,CI005838.WI
2022/3/15,1561.5677,1611.3687,1534.489,1535.9789,CI005845.WI
2022/3/15,1129.5741,1143.4452,1086.8593,1086.9419,CI005844.WI
2022/3/15,964.4788,964.4788,906.117,906.6068,CI005187.WI
2022/3/15,1469.0994,1469.0994,1362.9838,1365.6017,CI005189.WI
2022/3/15,1715.8237,1721.7932,1639.8392,1640.295,CI005800.WI
2022/3/15,1106.976,1106.976,1064.3846,1078.8726,CI005807.WI
2022/3/15,996.2061,996.965,948.6081,949.3245,CI005803.WI
2022/3/15,2006.329,2025.7223,1912.7887,1914.1222,CI005190.WI
2022/3/15,1436.3496,1436.3496,1336.1864,1346.0682,CI005802.WI
2022/3/15,9272.5029,9272.5029,8819.9668,8819.9668,CI005124.WI
2022/3/15,1995.5375,1996.1284,1879.9952,1882.0236,CI005170.WI
2022/3/15,145.9386,145.9386,136.222,136.222,CI005101.WI
2022/3/15,843.5148,843.9315,796.7565,796.7565,CI005848.WI
2022/3/15,1185.7949,1191.0797,1137.5966,1138.175,CI005836.WI
2022/3/15,1126.7489,1130.6525,1074.7655,1075.9894,CI005804.WI
2022/3/15,1817.218,1865.535,1777.6094,1777.8619,CI005834.WI
2022/3/15,2694.033,2695.968,2534.6345,2535.0601,CI005129.WI
2022/3/15,3750.6777,3750.6777,3551.7217,3551.7217,CI005117.WI
2022/3/15,1717.9762,1717.9762,1609.6019,1613.3386,CI005199.WI
2022/3/15,6000.0898,6000.7988,5719.4336,5723.6143,CI005127.WI
2022/3/15,844.8574,845.0916,793.0051,793.0054,CI005820.WI
2022/3/15,1059.4825,1059.4825,1000.385,1000.803,CI005815.WI
2022/3/15,1063.6189,1075.0746,1012.0682,1012.0682,CI005832.WI
2022/3/15,982.9112,985.8777,924.1857,925.2502,CI005825.WI
2022/3/15,7716.5972,7804.5518,7445.7358,7445.7358,CI005138.WI
2022/3/15,1075.8723,1075.8723,1023.2259,1023.413,CI005821.WI
2022/3/15,1284.8247,1285.4641,1227.5404,1228.6302,CI005822.WI
2022/3/15,1007.8221,1038.6431,984.8657,998.4032,CI005830.WI
2022/3/15,15463.2285,15738.5176,15228.3926,15232.5352,CI005154.WI
2022/3/15,2346.6663,2346.6663,2219.4871,2219.4871,CI005146.WI
2022/3/15,15573.4023,15920.9395,15235.5244,15235.5244,CI005136.WI
2022/3/15,931.112,931.6273,891.8094,891.8101,CI005826.WI
2022/3/15,780.7651,782.077,746.3436,746.7132,CI005828.WI
