,close,open,high,low,volume,code
2009-11-16,4364.973,4295.723,4366.852,4295.723,8837484800.0,000905.SH
2009-11-17,4387.552,4381.99,4400.394,4341.778,7886137800.0,000905.SH
2009-11-18,4406.779,4386.132,4413.624,4363.882,7777146100.0,000905.SH
2009-11-19,4476.138,4412.098,4476.138,4400.753,8605622500.0,000905.SH
2009-11-20,4508.293,4462.577,4541.274,4443.135,8827120300.0,000905.SH
2009-11-23,4591.339,4516.278,4592.007,4513.561,8283718000.0,000905.SH
2009-11-24,4347.657,4607.034,4611.888,4328.436,11608682400.0,000905.SH
2009-11-25,4512.08,4333.701,4512.677,4317.849,8759604700.0,000905.SH
2009-11-26,4328.408,4519.132,4541.945,4304.153,10372926200.0,000905.SH
2009-11-27,4215.338,4262.567,4355.231,4187.585,7082962800.0,000905.SH
2009-11-30,4405.328,4251.955,4405.693,4251.955,6293950500.0,000905.SH
2009-12-01,4525.288,4405.731,4525.649,4386.826,7608966500.0,000905.SH
2009-12-02,4591.384,4547.98,4605.878,4534.45,8762787600.0,000905.SH
2009-12-03,4621.941,4582.261,4625.636,4555.473,7904182200.0,000905.SH
2009-12-04,4506.082,4614.683,4651.148,4403.136,9398535700.0,000905.SH
2009-12-07,4581.242,4508.626,4581.578,4503.494,6049309800.0,000905.SH
2009-12-08,4571.764,4584.16,4598.095,4520.924,6640363700.0,000905.SH
2009-12-09,4498.152,4524.624,4566.237,4474.096,5535167100.0,000905.SH
2009-12-10,4536.557,4517.704,4553.819,4485.821,4541781800.0,000905.SH
2009-12-11,4534.763,4546.61,4576.217,4517.528,4711364600.0,000905.SH
2009-12-14,4513.594,4533.364,4533.797,4417.726,4609314400.0,000905.SH
2009-12-15,4523.493,4507.158,4545.354,4492.24,4658103400.0,000905.SH
2009-12-16,4506.039,4509.822,4543.097,4491.02,4341789200.0,000905.SH
2009-12-17,4364.926,4506.367,4518.944,4362.838,4492709600.0,000905.SH
2009-12-18,4203.48,4318.065,4318.987,4194.965,4298715200.0,000905.SH
2009-12-21,4256.389,4195.117,4257.017,4185.109,3209971900.0,000905.SH
2009-12-22,4136.822,4260.744,4263.337,4124.08,3684896700.0,000905.SH
2009-12-23,4210.173,4132.155,4210.665,4129.892,3288884800.0,000905.SH
2009-12-24,4345.296,4213.821,4350.525,4209.975,4436008000.0,000905.SH
2009-12-25,4376.193,4342.35,4398.458,4324.855,4272454000.0,000905.SH
2009-12-28,4447.205,4388.778,4447.757,4388.274,4374973600.0,000905.SH
2009-12-29,4463.604,4451.928,4465.461,4393.902,4527214500.0,000905.SH
2009-12-30,4446.067,4459.723,4470.308,4408.384,4808960400.0,000905.SH
2009-12-31,4485.255,4444.248,4487.451,4432.289,4529280000.0,000905.SH
2010-01-04,4510.527,4508.93,4542.71,4487.365,5125673400.0,000905.SH
2010-01-05,4557.475,4513.403,4558.21,4480.188,5704074500.0,000905.SH
2010-01-06,4550.279,4553.369,4595.102,4538.719,5787597900.0,000905.SH
2010-01-07,4459.155,4540.009,4554.932,4436.767,5787344000.0,000905.SH
2010-01-08,4514.452,4439.206,4514.719,4426.235,4657364600.0,000905.SH
2010-01-11,4542.949,4549.318,4558.461,4502.994,5708973200.0,000905.SH
2010-01-12,4639.632,4535.304,4640.353,4524.675,6206168900.0,000905.SH
2010-01-13,4591.024,4544.429,4650.059,4526.838,6789880700.0,000905.SH
2010-01-14,4714.1,4598.405,4714.873,4598.405,6791848300.0,000905.SH
2010-01-15,4747.648,4720.217,4753.189,4712.624,5851337200.0,000905.SH
2010-01-18,4829.062,4744.325,4829.361,4738.911,6328435700.0,000905.SH
2010-01-19,4830.016,4835.827,4852.325,4791.99,6615494400.0,000905.SH
2010-01-20,4651.074,4830.421,4831.701,4635.669,7808653700.0,000905.SH
2010-01-21,4667.209,4646.622,4696.161,4611.76,5093667600.0,000905.SH
2010-01-22,4537.88,4613.193,4633.394,4453.69,6018718300.0,000905.SH
2010-01-25,4481.16,4515.131,4542.786,4477.187,4139508300.0,000905.SH
2010-01-26,4294.383,4467.521,4492.645,4254.323,4152028200.0,000905.SH
2010-01-27,4267.113,4290.736,4344.132,4229.517,3292415200.0,000905.SH
2010-01-28,4336.381,4266.056,4340.409,4249.771,3212733000.0,000905.SH
2010-01-29,4374.649,4316.237,4418.402,4298.654,3988806500.0,000905.SH
2010-02-01,4331.366,4366.489,4372.572,4269.33,4309502900.0,000905.SH
2010-02-02,4301.768,4344.037,4388.351,4296.883,3853250500.0,000905.SH
2010-02-03,4363.079,4299.966,4363.668,4160.352,4852667900.0,000905.SH
2010-02-04,4408.441,4342.68,4445.754,4316.813,5187378200.0,000905.SH
2010-02-05,4311.293,4312.549,4382.344,4270.71,4967040500.0,000905.SH
2010-02-08,4310.894,4299.251,4330.204,4279.662,3194607600.0,000905.SH
2010-02-09,4311.891,4300.32,4334.343,4284.517,2989657900.0,000905.SH
2010-02-10,4366.25,4333.854,4366.495,4326.019,2589719600.0,000905.SH
2010-02-11,4356.517,4367.721,4385.197,4352.114,2448541000.0,000905.SH
2010-02-12,4416.219,4365.619,4418.539,4365.477,2451137900.0,000905.SH
2010-02-22,4419.547,4412.553,4457.223,4401.057,3146942600.0,000905.SH
2010-02-23,4459.155,4414.055,4459.726,4352.442,3884211000.0,000905.SH
2010-02-24,4556.281,4438.395,4556.723,4419.452,4802456800.0,000905.SH
2010-02-25,4629.965,4565.744,4632.97,4564.024,5551941000.0,000905.SH
2010-02-26,4634.671,4618.639,4656.927,4602.016,4953052200.0,000905.SH
2010-03-01,4686.266,4635.953,4692.833,4635.953,5386243700.0,000905.SH
2010-03-02,4690.293,4692.606,4705.16,4660.166,5662886100.0,000905.SH
2010-03-03,4758.434,4690.436,4761.577,4680.311,6357355100.0,000905.SH
2010-03-04,4586.523,4763.637,4780.016,4572.07,6847070600.0,000905.SH
2010-03-05,4604.586,4590.886,4632.04,4550.096,5237147600.0,000905.SH
2010-03-08,4654.583,4618.857,4665.061,4612.218,4503946900.0,000905.SH
2010-03-09,4660.126,4653.062,4674.509,4607.864,4721442900.0,000905.SH
2010-03-10,4598.994,4659.5,4674.064,4564.431,4479955900.0,000905.SH
2010-03-11,4562.872,4594.501,4608.643,4519.026,3756111800.0,000905.SH
2010-03-12,4492.861,4561.609,4575.996,4489.534,3540021200.0,000905.SH
