etf_code,etf_name,track_code,track_name,sw_code_keyword,sw_name,match_status,match_evidence,dominant_weight,sw_code,sw_code_holdings,source,agreement
510150.SH,消费ETF招商,000069.SH,消费80,,,non-industry:broad,消费80,,,,keyword,False
589320.SH,N科创200ETF嘉实,000699.SH,科创200,,,non-industry:broad,科创200,,,,keyword,False
562880.SH,电池ETF嘉实,931719.CSI,CS电池,801730.SI,电力设备,matched,801730.SI:电池,0.8297323362115084,801730.SI,801730.SI,holdings,True
563900.SH,300自由现金流ETF摩根,932366.CSI,300现金流,,,non-industry:broad,300现金流,,,,keyword,False
159248.SZ,人工智能ETF万家,930713.CSI,CS人工智,801750.SI,计算机,matched,801750.SI:人工智能,0.3456464079787614,801750.SI,801750.SI,keyword,True
516820.SH,医疗创新ETF平安,931484.CSI,CS医药创新,801150.SI,医药生物,matched,801150.SI:医药,0.9158505293974879,801150.SI,801150.SI,holdings,True
510360.SH,沪深300ETF广发,000300.SH,沪深300,,,non-industry:broad,沪深300,,,,keyword,False
560400.SH,证券ETF华泰柏瑞,399975.SZ,证券公司,801790.SI,非银金融,matched,801790.SI:证券公司,,801790.SI,,keyword,False
513230.SH,港股通消费ETF华夏,931454.CSI,港股通消费,,,non-industry:overseas,港股,,,,keyword,False
520780.SH,港股通汽车ETF华宝,931239.CSI,港股通汽车,,,non-industry:overseas,港股,,,,keyword,False
518860.SH,上海金ETF建信,SHAU.SGE,上海金,,,non-industry:commodity,上海金,,,,keyword,False
159573.SZ,创业板200ETF华夏,399019.SZ,创业200,,,non-industry:broad,创业200,,,,keyword,False
159359.SZ,A500ETF华安,000510.SH,中证A500,,,non-industry:broad,中证A50,,,,keyword,False
159015.SZ,恒生港股通科技ETF国联,HSSCITI.HI,恒生港股通科技主题,,,non-industry:overseas,港股,,,,keyword,False
159301.SZ,公用事业ETF华夏,000995.CSI,全指公用,801160.SI,公用事业,matched,801160.SI:公用事业,0.9069307998244893,801160.SI,801160.SI,holdings,True
159839.SZ,生物医药ETF汇添富,399441.SZ,生物医药,801150.SI,医药生物,matched,801150.SI:生物医药,0.9486154787951074,801150.SI,801150.SI,holdings,True
159310.SZ,芯片ETF天弘,h30007.CSI,芯片产业,801080.SI,电子,matched,801080.SI:芯片,0.9801022618251848,801080.SI,801080.SI,holdings,True
563000.SH,中国A50ETF易方达,746059.MI,MSCI中国A50互联互通,,,non-industry:broad,MSCI,,,,keyword,False
561350.SH,中证500ETF国泰,000905.SH,中证500,,,non-industry:broad,中证500,,,,keyword,False
159022.SZ,科创创业人工智能ETF富国,932456.CSI,科创创业AI,801750.SI,计算机,matched,801750.SI:人工智能,,801750.SI,,keyword,False
517380.SH,创新药ETF天弘,HSSSHID.HI,恒生沪深港创新药50,,,non-industry:overseas,恒生,,,,keyword,False
159888.SZ,智能汽车ETF华夏,930721.CSI,CS智汽车,801880.SI,汽车,matched,801880.SI:智能汽车,0.38321338547770306,801880.SI,801880.SI,keyword,True
589860.SH,科创综指ETF天弘,000680.SH,科创综指,,,non-industry:broad,科创综指,,,,keyword,False
159230.SZ,通用航空ETF华夏,980076.CNI,通用航空,801740.SI,国防军工,matched,801740.SI:通用航空,0.6168618263952674,801740.SI,801740.SI,holdings,True
563330.SH,A股ETF华泰柏瑞,930903.CSI,中证A股,,,non-industry:broad,中证A股,,,,keyword,False
159572.SZ,创业板200ETF易方达,399019.SZ,创业200,,,non-industry:broad,创业200,,,,keyword,False
159775.SZ,电池ETF建信,980032.CNI,新能电池,801730.SI,电力设备,matched,801730.SI:电池,0.5641365793216717,801730.SI,801730.SI,holdings,True
159768.SZ,房地产ETF银华,000948.CSI,内地地产,801180.SI,房地产,matched,801180.SI:房地产,0.9993114838264507,801180.SI,801180.SI,holdings,True
560120.SH,中证500现金流ETF华夏,932367.CSI,500现金流,,,non-industry:broad,中证500,,,,keyword,False
560570.SH,A500红利ETF国联安,932422.CSI,A500红利低波,,,non-industry:broad,红利,,,,keyword,False
561130.SH,国货ETF富国,931403.CSI,品牌工程,,,non-industry:broad,品牌工程,,,,keyword,False
563210.SH,专精特新ETF富国,HSCSSE.HI,恒生A股专精特新企业,,,non-industry:overseas,恒生,,,,keyword,False
159393.SZ,沪深300ETF万家,000300.SH,沪深300,,,non-industry:broad,沪深300,,,,keyword,False
159899.SZ,软件ETF招商,h30202.CSI,软件指数,801750.SI,计算机,matched,801750.SI:软件,0.9842443251941294,801750.SI,801750.SI,holdings,True
159120.SZ,港股通科技ETF国联安,HSSCITI.HI,恒生港股通科技主题,,,non-industry:overseas,港股,,,,keyword,False
159102.SZ,港股通生物科技ETF华安,HSBIO.HI,恒生生物科技,,,non-industry:overseas,港股,,,,keyword,False
159711.SZ,港股通50ETF华夏,930931.CSI,港股通50(HKD),,,non-industry:overseas,港股,,,,keyword,False
159357.SZ,A500ETF博时,000510.SH,中证A500,,,non-industry:broad,中证A50,,,,keyword,False
510320.SH,沪深300ETF中金,000300.SH,沪深300,,,non-industry:broad,沪深300,,,,keyword,False
159812.SZ,黄金ETF前海开源,Au9999.SGE,SGE黄金9999,,,non-industry:commodity,黄金,,,,keyword,False
560580.SH,电力ETF南方,h30199.CSI,电力指数,801160.SI,公用事业,matched,801160.SI:电力,0.9537392644912499,801160.SI,801160.SI,holdings,True
589770.SH,科创综指ETF招商,000680.SH,科创综指,,,non-industry:broad,科创综指,,,,keyword,False
159153.SZ,消费电子ETF鹏华,980030.CNI,消费电子,801080.SI,电子,matched,801080.SI:消费电子,,801080.SI,,keyword,False
159603.SZ,科创创业ETF天弘,931643.CSI,科创创业50,,,non-industry:broad,科创创业50,,,,keyword,False
159337.SZ,中证500ETF东财,000905.SH,中证500,,,non-industry:broad,中证500,,,,keyword,False
588420.SH,科创创业人工智能ETF摩根,932456.CSI,科创创业AI,801750.SI,计算机,matched,801750.SI:人工智能,,801750.SI,,keyword,False
159012.SZ,科创创业50ETF鹏华,931643.CSI,科创创业50,,,non-industry:broad,科创创业50,,,,keyword,False
159299.SZ,金融科技ETF易方达,930986.CSI,金融科技,801790.SI,计算机,matched,801790.SI:金融科技,0.8261026601839182,801750.SI,801750.SI,holdings,False
512460.SH,电池ETF华夏,931719.CSI,CS电池,801730.SI,电力设备,matched,801730.SI:电池,,801730.SI,,keyword,False
159847.SZ,医疗ETF易方达,399989.SZ,中证医疗,801150.SI,医药生物,matched,801150.SI:医疗,0.9183825528769249,801150.SI,801150.SI,holdings,True
560480.SH,电力ETF招商,h30199.CSI,电力指数,801160.SI,公用事业,matched,801160.SI:电力,,801160.SI,,keyword,False
159982.SZ,中证500ETF鹏华,000905.SH,中证500,,,non-industry:broad,中证500,,,,keyword,False
159003.SZ,招商快线ETF,,,,,no-track-info,,,,,keyword,False
513990.SH,港股通ETF招商,h50069CNY10.CSI,港股通人民币中间价,,,non-industry:overseas,港股,,,,keyword,False
516620.SH,影视ETF国泰,930781.CSI,中证影视,801760.SI,传媒,matched,801760.SI:影视,0.9442160275680948,801760.SI,801760.SI,holdings,True
562080.SH,300现金流ETF华宝,932366.CSI,300现金流,,,non-industry:broad,300现金流,,,,keyword,False
560270.SH,电力ETF工银,h30199.CSI,电力指数,801160.SI,公用事业,matched,801160.SI:电力,,801160.SI,,keyword,False
563320.SH,通用航空ETF华泰柏瑞,931855.CSI,通用航空,801740.SI,国防军工,matched,801740.SI:通用航空,0.7766133369432249,801740.SI,801740.SI,holdings,True
588100.SH,科创信息ETF嘉实,000682.SH,科创信息,,,non-industry:broad,科创信息,,,,keyword,False
562570.SH,信创ETF华夏,931247.CSI,中证信创,801750.SI,计算机,matched,801750.SI:信创,0.8496265485419308,801750.SI,801750.SI,holdings,True
