,time,code,close,open,high,low,volume
1974,2015-12-01,000300.XSHG,3591.7,3562.32,3617.3,3536.12,13653655400.0
1975,2015-12-02,000300.XSHG,3721.95,3587.76,3725.85,3573.4,21353886500.0
1976,2015-12-03,000300.XSHG,3749.3,3709.55,3758.45,3693.14,19776212600.0
1977,2015-12-04,000300.XSHG,3677.59,3719.73,3726.12,3667.29,15119952200.0
1978,2015-12-07,000300.XSHG,3687.61,3681.58,3699.34,3658.58,11388315000.0
1979,2015-12-08,000300.XSHG,3623.02,3668.84,3668.84,3619.45,12578108300.0
1980,2015-12-09,000300.XSHG,3635.94,3613.42,3655.16,3611.49,11332542200.0
1981,2015-12-10,000300.XSHG,3623.08,3634.37,3678.32,3615.99,12021562500.0
1982,2015-12-11,000300.XSHG,3608.06,3605.37,3630.74,3578.15,11032248100.0
1983,2015-12-14,000300.XSHG,3711.32,3573.88,3712.5,3571.0,15176911900.0
1984,2015-12-15,000300.XSHG,3694.39,3707.73,3717.36,3679.23,12648171000.0
1985,2015-12-16,000300.XSHG,3685.44,3703.95,3713.09,3677.45,11134272300.0
1986,2015-12-17,000300.XSHG,3755.89,3712.78,3768.84,3709.85,17792407500.0
1987,2015-12-18,000300.XSHG,3767.91,3754.96,3810.22,3750.93,17346598000.0
1988,2015-12-21,000300.XSHG,3865.97,3762.1,3877.82,3759.99,21743527500.0
1989,2015-12-22,000300.XSHG,3876.73,3872.1,3880.47,3841.59,18030366100.0
1990,2015-12-23,000300.XSHG,3866.38,3877.87,3926.69,3862.97,20701714700.0
1991,2015-12-24,000300.XSHG,3829.4,3858.14,3867.68,3787.08,14718139700.0
1992,2015-12-25,000300.XSHG,3838.2,3832.09,3848.03,3813.2,11962401300.0
1993,2015-12-28,000300.XSHG,3727.63,3847.53,3853.39,3727.63,15398844000.0
1994,2015-12-29,000300.XSHG,3761.88,3723.05,3762.05,3710.48,10188555500.0
1995,2015-12-30,000300.XSHG,3765.18,3762.91,3765.66,3726.28,10562995500.0
1996,2015-12-31,000300.XSHG,3731.01,3760.9,3772.62,3727.32,10187355600.0
1997,2016-01-04,000300.XSHG,3469.07,3725.86,3726.24,3468.95,11537067400.0
1998,2016-01-05,000300.XSHG,3478.78,3382.18,3518.22,3377.28,16211698400.0
1999,2016-01-06,000300.XSHG,3539.81,3482.41,3543.74,3468.47,14596614400.0
2000,2016-01-07,000300.XSHG,3294.38,3481.15,3481.15,3284.74,4410264100.0
2001,2016-01-08,000300.XSHG,3361.56,3371.87,3418.85,3237.93,18595945100.0
2002,2016-01-11,000300.XSHG,3192.45,3303.13,3342.48,3192.45,17463838700.0
2003,2016-01-12,000300.XSHG,3215.71,3214.82,3242.25,3174.55,12822579600.0
2004,2016-01-13,000300.XSHG,3155.88,3240.48,3257.3,3155.88,12066649400.0
2005,2016-01-14,000300.XSHG,3221.57,3076.64,3226.66,3072.04,13453767100.0
2006,2016-01-15,000300.XSHG,3118.73,3200.89,3216.8,3101.05,12460177900.0
2007,2016-01-18,000300.XSHG,3130.73,3068.23,3165.62,3066.73,10112838600.0
2008,2016-01-19,000300.XSHG,3223.13,3132.7,3227.91,3119.22,12765389300.0
2009,2016-01-20,000300.XSHG,3174.38,3204.22,3225.95,3154.43,13065050400.0
2010,2016-01-21,000300.XSHG,3081.35,3136.38,3202.54,3081.35,11118973300.0
2011,2016-01-22,000300.XSHG,3113.46,3114.89,3132.17,3053.96,8995108700.0
2012,2016-01-25,000300.XSHG,3128.89,3129.03,3149.33,3105.1,8154006100.0
2013,2016-01-26,000300.XSHG,2940.51,3099.6,3106.53,2934.65,12693392100.0
2014,2016-01-27,000300.XSHG,2930.35,2953.18,2963.54,2839.29,13222936600.0
2015,2016-01-28,000300.XSHG,2853.76,2909.33,2941.89,2841.84,9922275600.0
2016,2016-01-29,000300.XSHG,2946.09,2855.6,2965.31,2854.37,11330425900.0
2017,2016-02-01,000300.XSHG,2901.05,2939.04,2944.52,2869.56,8679534200.0
2018,2016-02-02,000300.XSHG,2961.33,2901.53,2972.43,2901.51,8860196300.0
2019,2016-02-03,000300.XSHG,2948.64,2931.29,2954.71,2909.9,7738900000.0
2020,2016-02-04,000300.XSHG,2984.76,2960.33,2999.21,2960.21,9177972400.0
2021,2016-02-05,000300.XSHG,2963.79,2982.06,2988.36,2962.85,7685080800.0
2022,2016-02-15,000300.XSHG,2946.71,2888.43,2961.49,2886.02,7291943400.0
2023,2016-02-16,000300.XSHG,3037.04,2962.19,3042.09,2962.19,11257964300.0
2024,2016-02-17,000300.XSHG,3063.32,3034.09,3065.78,3027.05,12829160700.0
2025,2016-02-18,000300.XSHG,3053.7,3079.53,3093.51,3049.84,12440146400.0
