,close
2016-10-24,2270.95
2016-10-25,2266.17
2016-10-26,2257.12
2016-10-27,2250.26
2016-10-28,2253.8
2016-10-31,2250.47
2016-11-01,2263.48
2016-11-02,2244.74
2016-11-03,2273.63
2016-11-04,2271.93
2016-11-07,2276.95
2016-11-08,2282.42
2016-11-09,2263.92
2016-11-10,2289.45
2016-11-11,2308.43
2016-11-14,2317.77
2016-11-15,2310.9
2016-11-16,2309.94
2016-11-17,2316.72
2016-11-18,2307.27
2016-11-21,2334.68
2016-11-22,2353.0
2016-11-23,2360.34
2016-11-24,2368.73
2016-11-25,2393.95
2016-11-28,2403.14
2016-11-29,2441.58
2016-11-30,2419.41
2016-12-01,2431.31
2016-12-02,2416.51
2016-12-05,2375.26
2016-12-06,2368.68
2016-12-07,2376.92
2016-12-08,2379.0
2016-12-09,2411.31
2016-12-12,2387.16
2016-12-13,2372.93
2016-12-14,2360.38
2016-12-15,2309.82
2016-12-16,2302.32
2016-12-19,2291.38
2016-12-20,2279.68
2016-12-21,2297.37
2016-12-22,2292.04
2016-12-23,2278.48
2016-12-26,2294.71
2016-12-27,2286.96
2016-12-28,2277.18
2016-12-29,2275.11
2016-12-30,2286.9
2017-01-03,2307.89
2017-01-04,2322.21
2017-01-05,2322.68
2017-01-06,2308.94
2017-01-09,2318.34
2017-01-10,2312.6
2017-01-11,2300.47
2017-01-12,2295.4
2017-01-13,2308.06
2017-01-16,2337.39
2017-01-17,2329.59
2017-01-18,2342.78
2017-01-19,2334.96
2017-01-20,2347.18
2017-01-23,2347.1
2017-01-24,2352.42
2017-01-25,2358.7
2017-01-26,2364.02
2017-02-03,2339.99
2017-02-06,2343.97
2017-02-07,2337.53
2017-02-08,2346.43
2017-02-09,2354.9
2017-02-10,2368.18
2017-02-13,2379.31
2017-02-14,2373.51
2017-02-15,2372.19
2017-02-16,2376.76
2017-02-17,2362.71
2017-02-20,2394.12
2017-02-21,2396.88
2017-02-22,2398.19
2017-02-23,2387.42
2017-02-24,2389.88
2017-02-27,2370.56
2017-02-28,2370.71
2017-03-01,2371.93
2017-03-02,2354.91
2017-03-03,2347.15
2017-03-06,2349.89
2017-03-07,2356.29
2017-03-08,2358.07
2017-03-09,2346.55
2017-03-10,2339.23
2017-03-13,2354.89
2017-03-14,2354.9
2017-03-15,2357.31
2017-03-16,2369.19
2017-03-17,2346.96
2017-03-20,2350.07
2017-03-21,2357.14
2017-03-22,2338.55
2017-03-23,2347.43
2017-03-24,2365.6
2017-03-27,2364.43
2017-03-28,2356.31
2017-03-29,2352.69
2017-03-30,2346.67
2017-03-31,2359.75
2017-04-05,2384.26
2017-04-06,2390.39
2017-04-07,2388.27
2017-04-10,2379.16
2017-04-11,2382.11
2017-04-12,2378.86
2017-04-13,2368.11
2017-04-14,2355.52
2017-04-17,2357.52
2017-04-18,2337.35
2017-04-19,2325.04
2017-04-20,2335.65
2017-04-21,2347.67
2017-04-24,2341.93
2017-04-25,2344.74
2017-04-26,2344.5
2017-04-27,2351.64
