,code,day,direction,rank,abnormal_code,abnormal_name,sales_depart_name,buy_value,sell_value,total_value,net_value,amount
98562,002606.SZ,2013/1/4,BUY,1,106004,换手率达20%的证券,信达证券股份有限公司铁岭光荣街证券营业部,3854157,11796,3865953,3842361,293346453
98523,002700.SZ,2013/1/4,BUY,3,106004,换手率达20%的证券,兴业证券股份有限公司太原双塔寺街证券营业部,3047469,0,3047469,3047469,215270955
98512,002703.SZ,2013/1/4,SELL,2,106004,换手率达20%的证券,长城证券有限责任公司北京通胡大街证券营业部,3306,961223,964529,-957917,81835212
98457,300291.SZ,2013/1/4,BUY,3,106001,涨幅偏离值达7%的证券,长城证券有限责任公司北京中关村大街证券营业部,4437745,6579,4444324,4431166,141198339
98666,000862.SZ,2013/1/4,BUY,3,106001,涨幅偏离值达7%的证券,长城证券有限责任公司北京中关村大街证券营业部,1458210,0,1458210,1458210,40008521
98738,000156.SZ,2013/1/4,BUY,2,106001,涨幅偏离值达7%的证券,长城证券有限责任公司杭州文华路证券营业部,5327096,135253,5462349,5191843,216336298
98725,000156.SZ,2013/1/4,BUY,2,106004,换手率达20%的证券,长城证券有限责任公司杭州文华路证券营业部,5327096,135253,5462349,5191843,216336298
98668,000862.SZ,2013/1/4,BUY,4,106001,涨幅偏离值达7%的证券,长城证券有限责任公司莆田荔城大道证券营业部,1351756,0,1351756,1351756,40008521
98366,600722.SH,2013/1/4,BUY,1,106099,其它异常波动的证券,长江证券股份有限公司成都光华村街证券营业部,13389831.55,,,,62574696
98532,002700.SZ,2013/1/4,SELL,1,106004,换手率达20%的证券,长江证券股份有限公司惠州下埔路证券营业部,418104,5885398,6303502,-5467294,215270955
98418,300348.SZ,2013/1/4,SELL,3,106004,换手率达20%的证券,长江证券股份有限公司郑州金水路证券营业部,71119,2630721,2701840,-2559602,152656246
98372,600537.SH,2013/1/4,BUY,5,106001,涨幅偏离值达7%的证券,招商证券股份有限公司北京车公庄西路证券营业部,7847556.01,,,,205246528
98558,002606.SZ,2013/1/4,BUY,4,106004,换手率达20%的证券,招商证券股份有限公司北京知春东里证券营业部,2392498,79015,2471513,2313483,293346453
98606,002239.SZ,2013/1/4,SELL,4,106006,连续三个交易日内收盘价格涨幅偏离值累计达到20%的证券,招商证券股份有限公司北京知春东里证券营业部,0,1067884,1067884,-1067884,23738968
98409,300353.SZ,2013/1/4,SELL,5,106004,换手率达20%的证券,招商证券股份有限公司南京中山南路证券营业部,560130,2659702,3219832,-2099572,131245309
98453,300295.SZ,2013/1/4,SELL,2,106001,涨幅偏离值达7%的证券,招商证券股份有限公司上海娄山关路证券营业部,0,8449189,8449189,-8449189,168894660
98673,000862.SZ,2013/1/4,SELL,2,106001,涨幅偏离值达7%的证券,招商证券股份有限公司上海肇嘉浜路证券营业部,7073,1318235,1325308,-1311162,40008521
98529,002700.SZ,2013/1/4,BUY,2,106004,换手率达20%的证券,招商证券股份有限公司深圳东门南路证券营业部,3572424,154284,3726708,3418140,215270955
98410,300353.SZ,2013/1/4,BUY,4,106004,换手率达20%的证券,招商证券股份有限公司深圳南山南油大道证券营业部,1784184,194190,1978374,1589994,131245309
98485,300251.SZ,2013/1/4,BUY,2,106004,换手率达20%的证券,招商证券股份有限公司深圳笋岗路证券营业部,9454981,88627,9543608,9366354,732502149
98572,002492.SZ,2013/1/4,SELL,3,106001,涨幅偏离值达7%的证券,招商证券股份有限公司长春亚泰大街证券营业部,0,2749340,2749340,-2749340,145970121
98526,002700.SZ,2013/1/4,SELL,5,106004,换手率达20%的证券,招商证券股份有限公司长沙芙蓉中路证券营业部,902092,2576112,3478204,-1674020,215270955
98584,002484.SZ,2013/1/4,SELL,2,106001,涨幅偏离值达7%的证券,浙商证券股份有限公司厦门杏林东路证券营业部,4697867,2282639,6980506,2415228,100196276
98585,002484.SZ,2013/1/4,BUY,2,106001,涨幅偏离值达7%的证券,浙商证券股份有限公司厦门杏林东路证券营业部,4697867,2282639,6980506,2415228,100196276
98742,000156.SZ,2013/1/4,BUY,4,106001,涨幅偏离值达7%的证券,浙商证券股份有限公司上海万航渡路证券营业部,3441000,27520,3468520,3413480,216336298
98729,000156.SZ,2013/1/4,BUY,4,106004,换手率达20%的证券,浙商证券股份有限公司上海万航渡路证券营业部,3441000,27520,3468520,3413480,216336298
98513,002703.SZ,2013/1/4,BUY,2,106004,换手率达20%的证券,浙商证券股份有限公司绍兴解放北路证券营业部,1815847,592753,2408600,1223094,81835212
98446,300295.SZ,2013/1/4,BUY,3,106001,涨幅偏离值达7%的证券,中国国际金融有限公司上海淮海中路证券营业部,10873468,1437879,12311347,9435589,168894660
98541,002694.SZ,2013/1/4,SELL,2,106004,换手率达20%的证券,中国国际金融有限公司上海淮海中路证券营业部,0,5050701,5050701,-5050701,184695721
98381,600535.SH,2013/1/4,BUY,4,106002,跌幅偏离值达7%的证券,中国国际金融有限公司上海淮海中路证券营业部,11227557.8,,,,432135520
98693,000750.SZ,2013/1/4,SELL,3,106004,换手率达20%的证券,中国国际金融有限公司上海淮海中路证券营业部,83441,8315067,8398508,-8231626,1267414357
