,trade_date,ts_code,exalter, buy , sell ,net_buy,side,reason
49,20130104,000677.SZ,齐鲁证券有限公司寿光公园北街证券营业部," 25,920,000.00 ", -   ,-25920000,1,连续三个交易日内，涨幅偏离值累计达到12%的ST证券、*ST证券和未完成股改证券
386,20130104,600882.SH,齐鲁证券有限公司淄博中润大道证券营业部," 14,606,437.20 ",,-14606437.2,1,连续三个交易日内，涨幅偏离值累计达20%的证券
59,20130104,000750.SZ,瑞银证券有限责任公司上海花园石桥路证券营业部," 147,453.00 "," 18,089,608.92 ",17942155.92,0,换手率达20%的证券
139,20130104,002236.SZ,瑞银证券有限责任公司上海花园石桥路证券营业部, -   ," 32,900,938.36 ",32900938.36,0,跌幅偏离值达7%的证券
6,20130104,000043.SZ,厦门证券有限公司厦门湖滨西路证券营业部," 119,713.00 "," 13,491,820.44 ",13372107.44,0,连续三个交易日内，涨幅偏离值累计达20%的证券
96,20130104,001914.SZ,厦门证券有限公司厦门湖滨西路证券营业部," 119,713.00 "," 13,491,820.44 ",13372107.44,0,连续三个交易日内，涨幅偏离值累计达20%的证券
106,20130104,002145.SZ,山西证券股份有限公司太原平阳路证券营业部," 2,204.00 "," 6,095,000.00 ",6092796,0,换手率达20%的证券
107,20130104,002145.SZ,山西证券股份有限公司太原平阳路证券营业部," 2,204.00 "," 6,095,000.00 ",6092796,0,涨幅偏离值达7%的证券
248,20130104,300111.SZ,山西证券股份有限公司太原漪汾街证券营业部," 537,300.00 "," 2,673,558.79 ",2136258.79,0,涨幅偏离值达7%的证券
357,20130104,600537.SH,山西证券股份有限公司太原迎泽大街证券营业部," 5,465,206.29 ",,-5465206.29,1,涨幅偏离值达7%的证券
240,20130104,300111.SZ,上海证券有限责任公司杭州文二路证券营业部," 37,600.00 "," 2,814,662.00 ",2777062,0,涨幅偏离值达7%的证券
249,20130104,300111.SZ,申银万国证券股份有限公司成都槐树街证券营业部," 6,578.00 "," 11,158,855.00 ",11152277,0,涨幅偏离值达7%的证券
68,20130104,000799.SZ,申银万国证券股份有限公司上海崇明证券营业部," 123,318.00 "," 20,630,829.37 ",20507511.37,0,换手率达20%的证券
228,20130104,002703.SZ,申银万国证券股份有限公司上海崇明证券营业部, -   ," 4,339,086.46 ",4339086.46,0,换手率达20%的证券
266,20130104,300262.SZ,申银万国证券股份有限公司上海广东路证券营业部," 6,202,633.61 "," 550,546.00 ",-5652087.61,1,换手率达20%的证券
69,20130104,000799.SZ,申银万国证券股份有限公司上海海宁路证券营业部," 105,379,601.03 "," 133,365.00 ",-105246236,1,换手率达20%的证券
116,20130104,002145.SZ,申银万国证券股份有限公司上海陆家嘴环路证券营业部," 356,494.00 "," 11,623,651.12 ",11267157.12,0,换手率达20%的证券
117,20130104,002145.SZ,申银万国证券股份有限公司上海陆家嘴环路证券营业部," 356,494.00 "," 11,623,651.12 ",11267157.12,0,涨幅偏离值达7%的证券
267,20130104,300262.SZ,申银万国证券股份有限公司上海陆家嘴环路证券营业部," 15,430,702.94 ", -   ,-15430702.94,1,换手率达20%的证券
216,20130104,002700.SZ,申银万国证券股份有限公司上海上中西路证券营业部," 3,219,533.30 "," 21,569.00 ",-3197964.3,1,换手率达20%的证券
150,20130104,002460.SZ,世纪证券有限责任公司九江庐山区长虹大道证券营业部," 1,913,158.92 ", -   ,-1913158.92,1,涨幅偏离值达7%的证券
360,20130104,600722.SH,世纪证券有限责任公司深圳深南大道中证券营业部,," 9,902,361.00 ",9902361,0,ST股票、*ST股票和S股连续三个交易日触及涨幅限制的股票
28,20130104,000156.SZ,首创证券有限责任公司北京五道口证券营业部, -   ," 2,535,240.20 ",2535240.2,0,换手率达20%的证券
29,20130104,000156.SZ,首创证券有限责任公司北京五道口证券营业部, -   ," 2,535,240.20 ",2535240.2,0,涨幅偏离值达7%的证券
89,20130104,000898.SZ,首创证券有限责任公司上海共和新路证券营业部," 6,872,567.80 "," 4,270,000.00 ",-2602567.8,1,涨幅偏离值达7%的证券
